"heart_rate","exercise_group"
57.6799252067391,"high intensity"
78.7703216532962,"high intensity"
71.4118255884977,"high intensity"
56.0959351706683,"high intensity"
62.3626751205307,"high intensity"
56.4448319354816,"high intensity"
68.1779555879427,"high intensity"
66.0813758742706,"high intensity"
87.6411742366576,"high intensity"
74.8192378519584,"high intensity"
59.2316054568187,"high intensity"
55.8530990057499,"high intensity"
74.5706405102238,"high intensity"
72.4238217559892,"high intensity"
68.9450793475362,"high intensity"
89.0193161593777,"high intensity"
82.9883659410221,"high intensity"
45.4208335291707,"high intensity"
69.1960336723446,"high intensity"
69.3407303290828,"high intensity"
61.6300635909723,"high intensity"
52.5451537010582,"high intensity"
67.4350825708976,"high intensity"
68.4332229066657,"high intensity"
59.4483379369436,"high intensity"
69.6351389534573,"high intensity"
72.0953984499808,"high intensity"
74.1711115826056,"high intensity"
57.2636795886041,"high intensity"
57.442108483737,"high intensity"
64.1112060624816,"high intensity"
67.7063855171351,"high intensity"
75.9523034701178,"high intensity"
66.2347283146039,"high intensity"
61.4058611029655,"high intensity"
69.9901013067533,"high intensity"
72.313778563946,"high intensity"
74.620014051998,"high intensity"
67.3151662044294,"high intensity"
61.8810544933291,"high intensity"
81.0773965036552,"high intensity"
70.4334377228527,"high intensity"
59.4214738027269,"high intensity"
68.2380484499295,"high intensity"
73.471802013808,"high intensity"
73.7539438918346,"high intensity"
70.1871314635024,"high intensity"
65.9566582377463,"high intensity"
71.612724297678,"high intensity"
75.4470357340218,"high intensity"
63.4847093151474,"high intensity"
70.3667868458398,"high intensity"
73.2347502398173,"high intensity"
75.5635375254082,"high intensity"
68.024055246946,"high intensity"
64.3132382773029,"high intensity"
70.4682146594217,"high intensity"
78.3992296792836,"high intensity"
63.8226750059726,"high intensity"
69.9499327033221,"high intensity"
74.1918019239112,"high intensity"
56.7083872857747,"high intensity"
60.9046135119668,"high intensity"
64.7500330016691,"high intensity"
50.5634600819992,"high intensity"
81.5756864288921,"high intensity"
60.7544329433697,"high intensity"
76.9457352782363,"high intensity"
56.2761943578287,"high intensity"
84.614169977618,"high intensity"
54.5049101953777,"high intensity"
77.6856087977015,"high intensity"
66.4629667359332,"high intensity"
73.461846214279,"high intensity"
58.5451429130672,"high intensity"
69.629667578076,"high intensity"
80.6787817604442,"high intensity"
74.9764356960499,"high intensity"
76.2813937475095,"high intensity"
71.5499067015828,"high intensity"
80.6606351126502,"high intensity"
70.7568881005651,"high intensity"
66.6435259557826,"high intensity"
79.0793692793521,"high intensity"
44.62379998583,"high intensity"
54.6149540333029,"high intensity"
58.513630680869,"high intensity"
70.4188442182372,"high intensity"
68.9792992434156,"high intensity"
64.8929221893345,"high intensity"
46.2390013314047,"high intensity"
73.1813028851708,"high intensity"
64.1956944832283,"high intensity"
68.0349111318159,"high intensity"
70.3739184692892,"high intensity"
58.3574015370797,"high intensity"
70.6387504445033,"high intensity"
58.0173429492393,"high intensity"
57.7923555574864,"high intensity"
70.1122915182694,"high intensity"
66.9403113300052,"high intensity"
82.5196798736286,"high intensity"
77.59360800759,"high intensity"
59.000161222288,"high intensity"
71.0390850655104,"high intensity"
73.6203379770213,"high intensity"
82.9356690862204,"high intensity"
58.8021199317317,"high intensity"
57.7581767476507,"high intensity"
70.6447696363934,"high intensity"
72.1526162421368,"high intensity"
77.3792587229472,"high intensity"
69.863719979723,"high intensity"
62.6511533872305,"high intensity"
70.5060576451037,"high intensity"
66.926796843404,"high intensity"
66.6702353536979,"high intensity"
85.1564670733064,"high intensity"
58.5698992571143,"high intensity"
69.3071841261515,"high intensity"
79.8139473894267,"high intensity"
96.2549480130729,"high intensity"
70.6116686420414,"high intensity"
66.6967017400872,"high intensity"
81.8329142692857,"high intensity"
73.3756558697795,"high intensity"
83.3536921370648,"high intensity"
63.5599843298469,"high intensity"
62.9237164937408,"high intensity"
77.637876473801,"high intensity"
77.4605687190455,"high intensity"
85.1635614798895,"high intensity"
68.1211508386285,"high intensity"
62.6336698731389,"high intensity"
68.0105475969296,"high intensity"
57.0651307536128,"high intensity"
92.9675365741957,"high intensity"
48.8228134994692,"high intensity"
50.292461736259,"high intensity"
54.9855918779551,"high intensity"
66.3827056367249,"high intensity"
67.0673922337083,"high intensity"
71.0723888946215,"high intensity"
67.572965494341,"high intensity"
49.4821999503646,"high intensity"
55.9757620170353,"high intensity"
62.348386364286,"high intensity"
50.1253286894292,"high intensity"
75.2935521595348,"high intensity"
57.5459198788429,"high intensity"
81.3444383530322,"high intensity"
73.1782904317962,"high intensity"
58.8807261720764,"high intensity"
67.6800838960817,"high intensity"
76.9550559856939,"high intensity"
75.1001686698487,"high intensity"
72.1783306083922,"high intensity"
62.6327656285308,"high intensity"
75.7219225764972,"high intensity"
